"Wavelength, µm",n,k
0.3,1.4878294986573213,0.0
0.30251256281407035,1.4871375042257409,0.0
0.3050251256281407,1.4864455097941607,0.0
0.307537688442211,1.4857577666915298,0.0
0.3100502512562814,1.4851433512553784,0.0
0.31256281407035175,1.4845289358192273,0.0
0.3150753768844221,1.483914520383076,0.0
0.31758793969849247,1.4833001049469245,0.0
0.3201005025125628,1.4827370754491904,0.0
0.32261306532663314,1.4821905948866736,0.0
0.3251256281407035,1.4816441143241568,0.0
0.32763819095477387,1.48109763376164,0.0
0.33015075376884423,1.4805690290423235,0.0
0.3326633165829146,1.4800823739255913,0.0
0.3351758793969849,1.479595718808859,0.0
0.33768844221105526,1.479109063692127,0.0
0.3402010050251256,1.478622408575395,0.0
0.342713567839196,1.4781717016092548,0.0
0.34522613065326635,1.4777377563907519,0.0
0.34773869346733666,1.4773038111722487,0.0
0.350251256281407,1.4768698659537456,0.0
0.3527638190954774,1.4764359207352424,0.0
0.35527638190954774,1.476044230557561,0.0
0.3577889447236181,1.4756569244569626,0.0
0.3603015075376884,1.4752696183563643,0.0
0.3628140703517588,1.4748823122557657,0.0
0.36532663316582914,1.4744950061551674,0.0
0.3678391959798995,1.4741459842788744,0.0
0.37035175879396987,1.4737997997940715,0.0
0.3728643216080402,1.4734536153092688,0.0
0.37537688442211053,1.4731074308244658,0.0
0.3778894472361809,1.4727612463396629,0.0
0.38040201005025126,1.4724455102045222,0.0
0.3829145728643216,1.4721357210695425,0.0
0.38542713567839193,1.471825931934563,0.0
0.3879396984924623,1.4715161427995833,0.0
0.39045226130653266,1.4712063536646038,0.0
0.392964824120603,1.470912844418691,0.0
0.3954773869346734,1.4706353951507491,0.0
0.3979899497487437,1.4703579458828073,0.0
0.40050251256281405,1.4700804966148655,0.0
0.4030150753768844,1.4698030473469235,0.0
0.4055276381909548,1.4695259118389072,0.0
0.40804020100502514,1.4692769862005592,0.0
0.41055276381909545,1.4690280605622115,0.0
0.4130653266331658,1.4687791349238635,0.0
0.41557788944723617,1.4685302092855155,0.0
0.41809045226130653,1.4682812836471677,0.0
0.4206030150753769,1.4680414656447014,0.0
0.4231155778894472,1.4678178812302871,0.0
0.42562814070351757,1.4675942968158728,0.0
0.42814070351758793,1.4673707124014586,0.0
0.4306532663316583,1.4671471279870443,0.0
0.43316582914572865,1.46692354357263,0.0
0.43567839195979896,1.4667105496409132,0.0
0.4381909547738694,1.4665095462130606,0.0
0.4407035175879397,1.4663085427852083,0.0
0.44321608040201005,1.4661075393573557,0.0
0.4457286432160804,1.4659065359295032,0.0
0.4482412060301507,1.4657055325016508,0.0
0.45075376884422114,1.465512158685188,0.0
0.45326633165829144,1.4653312543389732,0.0
0.4557788944723618,1.4651503499927585,0.0
0.45829145728643217,1.4649694456465436,0.0
0.4608040201005025,1.464788541300329,0.0
0.4633165829145729,1.4646076369541143,0.0
0.4658291457286432,1.4644276516087906,0.0
0.46834170854271356,1.4642646266573438,0.0
0.4708542713567839,1.4641016017058968,0.0
0.47336683417085423,1.46393857675445,0.0
0.47587939698492465,1.4637755518030031,0.0
0.47839195979899496,1.4636125268515563,0.0
0.4809045226130653,1.4634495019001095,0.0
0.4834170854271357,1.4632948079623929,0.0
0.485929648241206,1.4631476758261508,0.0
0.4884422110552764,1.4630005436899087,0.0
0.4909547738693467,1.4628534115536667,0.0
0.4934673366834171,1.4627062794174244,0.0
0.49597989949748744,1.4625591472811823,0.0
0.49849246231155775,1.4624120151449402,0.0
0.5010050251256282,1.4622756186645323,0.0
0.5035175879396985,1.4621426459266467,0.0
0.5060301507537688,1.4620096731887613,0.0
0.5085427135678392,1.4618767004508757,0.0
0.5110552763819095,1.4617437277129903,0.0
0.5135678391959799,1.461610754975105,0.0
0.5160804020100502,1.4614777822372194,0.0
0.5185929648241205,1.4613543044499233,0.0
0.521105527638191,1.461233934513457,0.0
0.5236180904522613,1.4611135645769908,0.0
0.5261306532663317,1.4609931946405246,0.0
0.528643216080402,1.4608728247040583,0.0
0.5311557788944723,1.460752454767592,0.0
0.5336683417085427,1.4606320848311258,0.0
0.536180904522613,1.460517428682751,0.0
0.5386934673366834,1.4604082666476015,0.0
0.5412060301507537,1.460299104612452,0.0
0.543718592964824,1.4601899425773026,0.0
0.5462311557788945,1.4600807805421532,0.0
0.5487437185929648,1.4599716185070037,0.0
0.5512562814070352,1.4598624564718543,0.0
0.5537688442211055,1.4597535679864717,0.0
0.5562814070351758,1.4596543895194518,0.0
0.5587939698492462,1.4595552110524321,0.0
0.5613065326633166,1.4594560325854122,0.0
0.563819095477387,1.4593568541183923,0.0
0.5663316582914573,1.4592576756513724,0.0
0.5688442211055276,1.4591584971843525,0.0
0.571356783919598,1.4590593187173329,0.0
0.5738693467336684,1.458962512187757,0.0
0.5763819095477387,1.4588722373898217,0.0
0.578894472361809,1.4587819625918863,0.0
0.5814070351758793,1.458691687793951,0.0
0.5839195979899497,1.4586014129960156,0.0
0.5864321608040202,1.4585111381980802,0.0
0.5889447236180905,1.458420863400145,0.0
0.5914572864321608,1.4583305886022095,0.0
0.5939698492462311,1.4582421117625555,0.0
0.5964824120603015,1.4581597644702688,0.0
0.5989949748743719,1.4580774171779822,0.0
0.6015075376884422,1.4579950698856956,0.0
0.6040201005025125,1.4579127225934092,0.0
0.6065326633165828,1.4578303753011226,0.0
0.6090452261306533,1.457748028008836,0.0
0.6115577889447237,1.4576656807165496,0.0
0.614070351758794,1.457583333424263,0.0
0.6165829145728643,1.4575074030231803,0.0
0.6190954773869346,1.4574321181249106,0.0
