"Wavelength, µm",n,k
0.3,1.3588258013047885,0.0
0.30251256281407035,1.358186600904678,0.0
0.3050251256281407,1.3575474005045673,0.0
0.307537688442211,1.356975373942628,0.0
0.3100502512562814,1.3564054106463839,0.0
0.31256281407035175,1.3558354473501397,0.0
0.3150753768844221,1.3552766387536135,0.0
0.31758793969849247,1.3547656326440394,0.0
0.3201005025125628,1.354254626534465,0.0
0.32261306532663314,1.353743620424891,0.0
0.3251256281407035,1.353253167179734,0.0
0.32763819095477387,1.3527925110564831,0.0
0.33015075376884423,1.3523318549332324,0.0
0.3326633165829146,1.3518711988099816,0.0
0.3351758793969849,1.3514395731907756,0.0
0.33768844221105526,1.3510224410615945,0.0
0.3402010050251256,1.3506053089324135,0.0
0.342713567839196,1.3501881768032327,0.0
0.34522613065326635,1.3498047625006504,0.0
0.34773869346733666,1.3494256866091656,0.0
0.350251256281407,1.3490466107176808,0.0
0.3527638190954774,1.3486710111748728,0.0
0.35527638190954774,1.3483250433660234,0.0
0.3577889447236181,1.3479790755571741,0.0
0.3603015075376884,1.3476331077483248,0.0
0.3628140703517588,1.3472977276319398,0.0
0.36532663316582914,1.3469808628809914,0.0
0.3678391959798995,1.346663998130043,0.0
0.37035175879396987,1.3463471333790946,0.0
0.3728643216080402,1.3460453266966044,0.0
0.37537688442211053,1.3457542994001142,0.0
0.3778894472361809,1.3454632721036237,0.0
0.38040201005025126,1.3451722448071333,0.0
0.3829145728643216,1.3448994930739788,0.0
0.38542713567839193,1.3446312589470268,0.0
0.3879396984924623,1.3443630248200746,0.0
0.39045226130653266,1.3440960204751322,0.0
0.392964824120603,1.3438480797806804,0.0
0.3954773869346734,1.3436001390862287,0.0
0.3979899497487437,1.3433521983917769,0.0
0.40050251256281405,1.3431093546391046,0.0
0.4030150753768844,1.3428796433501584,0.0
0.4055276381909548,1.342649932061212,0.0
0.40804020100502514,1.3424202207722657,0.0
0.41055276381909545,1.3421986552581715,0.0
0.4130653266331658,1.3419852812633526,0.0
0.41557788944723617,1.3417719072685337,0.0
0.41809045226130653,1.3415585332737148,0.0
0.4206030150753769,1.3413556472802028,0.0
0.4231155778894472,1.3411568886718206,0.0
0.42562814070351757,1.3409581300634381,0.0
0.42814070351758793,1.3407593714550559,0.0
0.4306532663316583,1.3405734841553845,0.0
0.43316582914572865,1.340387907960676,0.0
0.43567839195979896,1.3402023317659675,0.0
0.4381909547738694,1.3400190975010926,0.0
0.4407035175879397,1.3398455066177128,0.0
0.44321608040201005,1.339671915734333,0.0
0.4457286432160804,1.339498324850953,0.0
0.4482412060301507,1.3393292134395935,0.0
0.45075376884422114,1.339166432092942,0.0
0.45326633165829144,1.3390036507462904,0.0
0.4557788944723618,1.3388408693996388,0.0
0.45829145728643217,1.3386847015575196,0.0
0.4608040201005025,1.3385317441926456,0.0
0.4633165829145729,1.3383787868277714,0.0
0.4658291457286432,1.3382258294628973,0.0
0.46834170854271356,1.3380808978935526,0.0
0.4708542713567839,1.3379369360403681,0.0
0.47336683417085423,1.3377929741871835,0.0
0.47587939698492465,1.337649920530258,0.0
0.47839195979899496,1.3375141259096193,0.0
0.4809045226130653,1.3373783312889804,0.0
0.4834170854271357,1.3372425366683416,0.0
0.485929648241206,1.3371095056069147,0.0
0.4884422110552764,1.336981180065227,0.0
0.4909547738693467,1.3368528545235394,0.0
0.4934673366834171,1.3367245289818517,0.0
0.49597989949748744,1.3366002554078928,0.0
0.49849246231155775,1.336478809268122,0.0
0.5010050251256282,1.336357363128351,0.0
0.5035175879396985,1.33623591698858,0.0
0.5060301507537688,1.3361195708283462,0.0
0.5085427135678392,1.336004436544438,0.0
0.5110552763819095,1.3358893022605298,0.0
0.5135678391959799,1.3357743238126534,0.0
0.5160804020100502,1.3356649612336295,0.0
0.5185929648241205,1.3355555986546057,0.0
0.521105527638191,1.3354462360755819,0.0
0.5236180904522613,1.3353383921874358,0.0
0.5261306532663317,1.3352343434323368,0.0
0.528643216080402,1.3351302946772379,0.0
0.5311557788944723,1.335026245922139,0.0
0.5336683417085427,1.3349246834203896,0.0
0.536180904522613,1.3348255598898338,0.0
0.5386934673366834,1.3347264363592781,0.0
0.5412060301507537,1.3346273128287225,0.0
0.543718592964824,1.3345314631346061,0.0
0.5462311557788945,1.3344368627270666,0.0
0.5487437185929648,1.3343422623195276,0.0
0.5512562814070352,1.334247661911988,0.0
0.5537688442211055,1.334157169871271,0.0
0.5562814070351758,1.3340667505820123,0.0
0.5587939698492462,1.3339763312927533,0.0
0.5613065326633166,1.3338866962344949,0.0
0.563819095477387,1.33380016697996,0.0
0.5663316582914573,1.3337136377254253,0.0
0.5688442211055276,1.3336271084708904,0.0
0.571356783919598,1.3335420871216457,0.0
0.5738693467336684,1.3334591429961882,0.0
0.5763819095477387,1.3333761988707309,0.0
0.578894472361809,1.3332932547452736,0.0
0.5814070351758793,1.3332125696567094,0.0
0.5839195979899497,1.3331329505781953,0.0
0.5864321608040202,1.333053331499681,0.0
0.5889447236180905,1.3329737124211671,0.0
0.5914572864321608,1.332896881203021,0.0
0.5939698492462311,1.3328203652638304,0.0
0.5964824120603015,1.3327438493246397,0.0
0.5989949748743719,1.3326676718030177,0.0
0.6015075376884422,1.332594038466628,0.0
0.6040201005025125,1.3325204051302382,0.0
0.6065326633165828,1.3324467717938484,0.0
0.6090452261306533,1.3323740354724176,0.0
0.6115577889447237,1.3323030686489854,0.0
0.614070351758794,1.3322321018255534,0.0
0.6165829145728643,1.3321611350021214,0.0
0.6190954773869346,1.3320916452009601,0.0
